#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
hii	下来了\t血淋淋
hih	心理学\t想了想\t笑了笑
hij	夏令营\t叙利亚
hyz	星期二\t小企鹅
hyi	想起来\t想起了\t星期六
hti	笑死了\t下三滥\t新思路
hdm	小市民\t些什么
hli	想通了\t希特勒
hdv	消失在\t形声字\t小叔子
hex	休止符\t县政府\t乡政府
hel	瞎折腾\t旋转体\t小纸条
hed	线装书\t县知事
heh	象征性\t想这些\t限制性
hev	掀桌子
hwi	想歪了\t学完了
hho	谢谢你\t相信你
hjg	下一个\t协约国\t选一个
hji	吸引力\t匈牙利
hjt	小意思
hjv	小燕子\t小姨子
hvn	心脏病\t小字报\t现在不
hvk	小字典\t现在的
hvr	现在看
hvi	选择了\t写字楼
hvo	现在能
hvd	现在是\t协作社
hvj	现在有\t写作业
hvv	喜滋滋\t现在在
jnn	一步步\t一般般\t眼巴巴
jnl	也不太
jnw	用不完\t也不晚
jcc	一次次
jck	药材店\t一次的
jci	原材料\t以此来
jch	一次性
jkn	一大半\t一大把\t一大帮
jkk	一点点\t一大堆\t移动端
jkz	一点儿\t有点儿\t有点二\t印第安\t有答案
jkx	一顿饭\t羊癫疯\t与对方
jkg	一等功\t有代沟\t遇到过
jkf	一定会\t一段话\t运动会
jku	一大截\t一等奖\t邮电局
jkr	一大块\t一道坎\t一大口
jki	有道理\t意大利\t一定量
jkm	源代码\t有多么
jko	一定能\t雅典娜
jky	一刀切\t一大群\t阅读器
jka	有的人\t一代人\t一堆人
jkd	一定是\t有道是\t应当说
jke	用得着\t源地址\t一党制
jkh	有点像\t运动鞋\t压倒性
jkj	一定要\t运动员\t约等于
jkv	一大早\t一肚子\t一袋子
jzv	一而再\t幺蛾子\t因而在
jxm	一方面\t与父母
jxy	一分钱\t要分清\t与父亲
jxd	乐府诗\t语法树
jxe	一分钟\t预防针\t与发展
jxh	一封信\t原发性\t运费险
jgg	一个个\t圆鼓鼓\t有广告
jgu	一个劲\t一根筋\t压根就
jgi	英格兰\t有规律
jgo	应该能\t一股脑
jga	一个人\t英国人
jgl	硬骨头
jgd	应该是\t应该说\t月桂树
jgw	应该问
jgh	有关系\t应该像\t一贯性
jgj	一个月\t摇滚乐\t鱼肝油
jgv	一个字\t洋鬼子\t裕固族
jfr	银行卡
jfi	一回来\t月活量
jfv	硬汉子\t一会再
jri	亚克力
jin	一览表\t英联邦
jik	医疗队\t一两点\t伊利丹
jig	一两个\t易拉罐\t有两个
jif	一两回\t颜料盒\t有灵魂
jii	又来了\t要来了\t圆溜溜
jim	月亮门\t赢了吗\t跃龙门
jid	原来是\t一路上\t阅览室
jie	意料中\t医疗站\t言论中
jij	越来越\t有利于\t有理由
jiv	原来在\t一揽子
jmn	有毛病\t要明白
jmg	幽默感\t玉门关
jmi	阴谋论\t压马路\t源目录
jmj	有没有\t圆明园\t也没有
jyg	要求高\t一千个
jyi	用起来\t一起来\t引起来
jya	一群人\t有钱人
jyd	尤其是\t与其说\t摇钱树
jyw	野蔷薇\t一千五\t一起玩
jyh	一起向\t一起想
jyv	一起做\t一清早
jdm	鸭舌帽\t有什么
jty	隐私权\t压岁钱
jlz	英特尔
jlx	以太坊
jli	一条路\t一条龙\t有条理
jek	也知道\t一盏灯\t眼中钉
jes	一指禅\t也支持
jea	意中人\t宇宙人\t亚洲人
jel	一整天\t一整套\t摇着头
jed	也只是\t一只手
jeh	一致性\t严重性\t一炷香
jej	以至于\t有助于\t一转眼
jwk	英伟达\t一窝端
jwx	一窝蜂\t燕尾服\t也无法
jwy	冤枉钱\t圆舞曲
jwd	以为是\t一晚上\t医务室
jwe	意味着\t有完整
jhc	鱼腥草\t一小撮\t有瑕疵
jhk	一想到\t一小段\t压箱底
jhg	优先股\t有效果
jhf	一席话\t一小会\t要学会
jhu	游戏机\t优先级\t右下角
jhy	有兴趣\t有效期
jha	有些人\t有心人\t一些人
jhd	一小时\t意向书\t也许是
jhv	一下子\t要选择
jju	预言家\t有意见\t压压惊
jjy	游泳圈\t一夜情
jjl	有一天\t有一套\t摇摇头
jvi	原子量\t又咋了\t园子里
vnk	做不到\t在不断
vnf	做不好\t总不会
vnu	资本家\t总编辑\t再不济
vnr	走不开\t在半空
vni	做不了\t资本论\t走不了
vnh	坐标系\t再不行
vnv	在不在\t做不做
vkn	子弟兵\t坐地板
ekk	知道的
vkf	自动化\t最大化\t做得好
vki	做到了\t遭到了\t走丢了
tkl	死对头
vkw	总吨位\t在逗我
vkh	总担心
vkj	自定义\t总动员
vxs	字符串\t再分成
vgs	走过场\t在工厂
vgi	足够了\t走过来\t做鬼脸
vgm	在干嘛
vgy	走过去
vga	最感人
vgv	自顾自\t做工作\t在工作
vff	藏红花\t脏乎乎
vfr	最好看
vfi	做好了\t载货量
vfm	走后门
vfl	再回头\t纵横谈
vfd	最好是\t咋回事
vfh	综合性\t自画像\t在火星
vuk	自己的\t总觉得\t最近的
vug	自己干
vui	总经理\t增加了
vuo	早几年
eud	这件事\t浙江省\t这就是
vuh	总结性\t自觉性\t在进行
vuj	自驾游\t自解压
vih	再联系
vij	坐落于\t棕榈油\t自来也
viv	坐落在\t载流子\t造轮子
vmn	怎么办\t怎么不
vmc	怎么才
vmk	走马灯\t怎么读\t在面对
vmg	怎么搞\t怎么关\t赞美歌
vmf	怎么会\t最美好
vmu	怎么讲\t怎么就\t在民间
vmi	怎么了\t子目录\t祖母绿
vmm	做买卖
vmo	怎么能\t怎么弄
vmy	奏鸣曲\t自贸区\t在目前
vmt	怎么算\t怎么送
vmd	怎么说\t在面试
vme	怎么着\t造梦者\t怎么找\t在漫长
vmh	怎么写\t怎么行\t怎么选
vmj	怎么样\t怎么用\t在没有
vmv	怎么做\t字幕组
voi	在哪里
voo	在哪呢
vyi	责权利\t组起来
vym	最起码\t最全面\t在前面
vaf	自然会
vam	自然码
vaw	自认为\t总任务\t则认为
vah	责任心\t责任险
vlf	座谈会\t紫藤花
vlh	走天下\t坐天下
vdn	座上宾\t在身边
vdi	早说了
vek	早知道\t增长点\t最终的
veg	在这个
vef	总指挥\t子账号
vei	在这里\t增长率\t自制力
veo	在这呢
vey	自治区\t走着瞧\t在之前
vhs	自行车\t在现场
vhi	坐下来\t在心里
vhy	走下去\t做下去
vjn	再也不\t作业本
vjc	再一次\t在一次\t做一次
vjk	自由度\t早一点\t怎样的
vjg	做一个\t自由港
vjm	座右铭\t自由面
vjw	自以为\t总以为\t在野外
vjh	做一些\t做一下
vjj	自由泳\t作用域\t总医院
vvo	坐在那
vvh	自尊心\t早自习
vvj	再怎样
mgj	每个月\t莫过于
znz	爱不爱\t艾比安\t饿不饿\t二百二
zng	熬不过\t阿兵哥
znu	矮半截\t阿布贾
zni	阿波罗\t埃博拉\t按比例\t饿扁了\t二比零
zne	熬不住\t按标准
zci	按错了\t爱错了
zkz	安道尔\t奥多尔
zzx	阿尔法\t埃尔法
zzi	爱尔兰\t奥尔良
zxf	阿富汗\t案发后
zxl	阿凡提
zgi	安哥拉\t盎格鲁
fgi	很给力\t花光了
zgl	阿根廷\t二锅头\t欧共体
zge	爱国者
zfd	安徽省\t偶函数
zsi	按常理\t按出来
zui	安静了\t安吉拉
zut	氨基酸
zin	阿拉伯\t阿鲁巴\t按喇叭\t二〇八\t欧罗巴
zik	阿拉丁\t爱劳动
ziy	阿联酋\t二〇七
zid	按理说\t安禄山\t鹅卵石\t二郎神
zij	安乐椅\t阿里云\t艾莉亚
zmj	安眠药\t按摩椅
zmv	爱面子
zme	爱慕者
zyg	安全感\t爱情观
zyf	爱琴海
zyu	安全局\t爱清洁
zyp	爱情片\t安全牌
zyh	安全性\t安全线
zyv	安全组\t挨枪子
ztg	阿三哥
ztr	奥斯卡\t爱思考
zti	奥斯陆\t爱死了\t饿死了\t二三流
zlu	凹透镜\t奥陶纪\t凹凸镜\t儿童节\t二头肌
zld	安徒生\t阿图什
zdm	阿诗玛\t啊什么
zdd	爱谁谁\t鞍山市
zen	安装包\t安装版
zwf	奥委会\t安委会
zjw	哎呦喂\t哎哟喂\t鄂豫皖\t诶呦喂
zvn	艾滋病
nnf	并不会\t版本号\t不包含
nns	办不成\t不包吃
nny	北半球\t保不齐
nnl	棒棒糖\t半边天
nnj	不必要\t北冰洋\t不包邮
nnh	并不想\t百宝箱\t不保险
nci	不错了\t报错了
nke	变电站\t别当真
nkv	半吊子\t布袋子
nxf	暴发户\t百分号\t不符合
nxj	暴风雨\t不富裕
nxv	不负责\t不复杂
ngk	不敢当\t巴格达\t不固定
ngm	帮个忙\t不感冒
nfn	不会吧\t刨花板\t不好吧
nff	白花花\t保护好\t不好喝
nuf	比较好\t北极狐\t不计划
nuh	百家姓\t八角形\t北极熊
nuj	不经意\t不建议\t不均匀
nuv	败家子\t摆架子\t包饺子
nrj	不可以\t不可用
nin	玻璃杯\t白萝卜\t拔萝卜
nic	不理睬\t八里村
nik	便利店\t白兰地
nix	别浪费\t布洛芬
nig	板蓝根\t拨浪鼓\t巴拉圭
nif	博览会\t不灵活
nir	不离开\t布鲁克
nii	不聊了\t白亮亮\t不良率
nim	贝雷帽\t爆冷门\t菠萝蜜
niy	保龄球\t不留情\t避雷器
nit	不利索\t玻璃丝\t辩论赛
nid	不论是\t比利时
niw	芭蕾舞\t宝莱坞\t玻璃碗
nij	不利于\t不乐意
nmn	不明白\t报名表
nmo	本命年\t白毛女
nmj	并没有\t不满意\t兵马俑
noi	别闹了\t不努力
noe	白内障\t帮你找
npt	不怕死\t不配送
npj	不便宜
nyk	不确定\t不恰当
nya	不求人\t白切肉
nyl	包青天\t白鳍豚\t标签贴
nae	不认账\t白日撞\t不认真
ntw	波斯湾\t不算晚
nth	不死心\t冰丝席
nlx	白头发\t不通风\t不透风
nlg	不太敢\t不提供\t不通过
nls	不提倡\t半脱产\t鼻涕虫
nlu	不推荐\t不提交
nlm	半透明\t不透明
nly	趵突泉\t不听劝\t不透气
nll	扁桃体\t半条腿
nld	半桶水\t不挑食\t不太熟
nlw	白头翁\t别太晚\t被投喂
nds	办事处\t不擅长
ndw	不失为\t掰手腕\t不是我
nex	辩证法\t补助费
neu	保证金\t不着急
nem	不知名\t标准煤\t本周末
nwe	不完整\t把握住\t保卫战
nhn	不行吧\t便携版\t白血病
nhg	不习惯\t不相干\t不锈钢
nhm	不行吗\t不香吗
nhp	必需品\t便携屏
nhh	不小心\t不相信\t不信邪
nhj	不需要\t不屑于\t不想要
njn	不一般\t比一比\t毕业班
njc	贬义词\t褒义词
njk	不一定\t不由得\t比亚迪
njx	八月份\t搬运费
njg	不应该\t不用管
nju	不要紧\t备用金
nji	不要脸\t不用了\t白眼狼
njl	不要太\t病原体\t避孕套
njd	毕业生\t不要说\t不用说
njw	本以为\t被誉为
njh	不允许\t不影响\t必要性
njv	白羊座\t布依族\t摆样子
nvf	不在乎
nvh	不自信\t不在线\t不在行
nvs	不赞成\t不在场
nvu	不自觉\t不在家
nvi	不早了\t不自量\t不做了
nvm	不怎么\t别做梦
nvy	不足取\t变阻器
nva	不自然\t把责任
nvd	不再是\t不早说
nvw	不作为\t被作为
nvj	不足以\t不在于\t不在意
nvv	不自在\t包粽子
cnk	猜不到\t擦不掉
cni	错不了\t参变量\t测不了
cnd	才不是\t凑不上
cne	藏不住\t猜不着\t存不住
cnv	错别字\t菜包子
ccc	猜猜猜\t噌噌噌
ccf	擦擦汗\t擦擦灰
ccp	残次品\t从磁盘
cki	次大陆\t猜到了\t猜对了
cgu	擦干净\t踩过界
cgi	错过了\t采购量
cfu	催化剂\t才回家
cro	才可能
crd	才开始\t参考书
cin	从来不\t材料表
cic	擦了擦\t材料仓
cih	策略性\t磁力线\t材料学
cmm	村民们\t藏猫猫\t草莓苗
cmy	催眠曲\t从目前
cma	聪明人\t草木染
cmj	从没有\t催眠药\t才没有
cog	才能够\t慈宁宫
cyi	藏起来\t存起来
clv	醋坛子\t菜摊子\t菜团子
cdn	次声波\t测试版
ceu	财政局\t采摘节
cej	侧重于
sej	出主意\t成这样\t垂直于
cwf	村委会\t财务会
cwi	错误率\t测完了
chx	磁悬浮\t促销费
chj	磁效应\t才需要\t促销员
cjn	搓衣板\t葱油饼
cjk	参与度\t策源地\t参与到
cvg	存在感\t操纵杆\t曾做过
cvl	操作台\t草字头
knk	得不到\t对不对\t动不动
knx	大部分\t蛋白粉
kns	打不出\t大巴车
knu	等不及\t低不就\t都比较
knr	打不开\t躲不开
knm	蛋白酶\t道不明
kna	倒不如\t都不如
knl	代表团\t大白天\t打白条
kne	蛋白质\t对不住
knh	代表性\t电冰箱\t都必须
knj	大本营\t大半夜\t都不用
knv	代表作\t带不走
kci	电磁炉\t打错了
kki	得到了\t大道理\t达到了
kkp	电灯泡\t打地铺
kky	对得起\t迭代器\t打蛋器
kzn	第二步\t第二遍
kzc	第二次\t第二层
kzg	第二个\t第二关
kzm	第二名\t第二幕\t地安门
kzo	第二年\t蒂尔尼
kzy	大而全\t第二期
kxn	电饭煲\t定风波
kxk	大幅度\t大饭店
kxg	电饭锅\t地方官\t大法官
kxf	东方红\t大富豪
kxm	单方面\t多方面\t等方面
kxa	豆腐乳\t东方人
kxe	地方志\t豆腐渣\t大发展
kxh	大方向\t地方性
kxj	丹凤眼\t当翻译
kgn	打个包\t当过兵
kgg	大哥哥\t顶呱呱\t打广告
kgs	胆固醇\t代工厂
kgm	大规模\t大革命
kgo	多功能\t等功能
kgy	打过去\t道个歉\t打官腔
kfg	读后感\t都会给
kff	电火花\t都很好\t打哈哈
kfs	大合唱\t大货车
kft	导火索\t胆红素
ksf	倒春寒\t调查和
ksi	洞察力\t打出了
kud	倒计时\t胆结石\t大街上
kro	都可能\t都困难
kin	得了吧\t大老板
kic	大老粗\t第六次
kik	多伦多\t顿了顿\t大量的
kig	第六感\t打了个
kif	低龄化\t度量衡
kiu	多了解\t邓丽君
kii	带来了\t低利率\t都来了
kim	对立面\t到了吗
kiy	多了去\t打篮球
kia	代理人\t大陆人
kil	大冷天\t大乐透\t电路图
kid	大理石\t道路上
kih	独立性\t地理学\t动力学
kij	大老远\t冬令营\t独立于
kiv	独龙族\t都来自\t掉链子
kmc	代名词\t动名词
kmy	独木桥\t但目前
koz	低能儿\t丹尼尔
kof	多年后\t多瑙河\t大男孩
koj	东南亚\t大年夜\t都能用
kpk	大排档\t大盘点
kpw	肚皮舞\t杜培武
kph	地平线\t堆排序
kyc	大气层\t地球村\t第七次
kyf	电气化\t到期后
kyt	道琼斯\t黛绮丝
kye	当权者\t第七章
kas	单人床\t丁汝昌
ktg	第三个\t单色光\t第四个
kto	第三年\t迪斯尼
kln	大头兵\t跌停板\t大踏步
klz	呆头鹅\t地摊儿
klf	洞庭湖\t地摊货
kli	到头来\t代替了
kly	大提琴\t带他去
kll	大头贴\t断头台\t动态图
kle	打头阵\t地铁站
klj	等同于\t大团圆
kdn	大手笔\t多少遍\t登山包
kek	都知道\t地质队\t但直到
keg	对着干\t动真格\t对中国
key	等着瞧\t敌占区\t读者群
keh	大闸蟹\t大中型\t地质学
kwr	吊胃口\t对胃口
kww	大无畏\t第五位
kwj	动物园\t动物油\t定位于
khn	单行本\t大小便\t癫痫病
khk	单行道\t代销店\t典型的
khz	店小二\t杜雪儿
khx	东西方\t点下方
khg	胆小鬼\t大峡谷
khf	都喜欢\t灯下黑\t低消耗
khs	大学城\t多线程
khu	大小姐\t电信局\t大型机
khi	掉下来\t大学里
khm	大熊猫\t刀削面\t点线面
khy	掉下去\t打下去
kht	单相思\t大像素
khl	低血糖\t多选题
khd	大学生\t地下室\t对学生
khh	大猩猩\t大小写\t短消息
khj	大西洋\t都需要
khv	东乡族\t到现在
kjn	第一步\t第一遍
kjc	第一次\t第一层
kjx	独一份\t第一份
kjg	第一个\t都应该
kjs	打圆场\t第一场
kjo	第一年\t对于你
kja	代言人\t第一人
kjj	电影院\t都一样\t得益于
kvf	大杂烩\t钉子户\t到最后
kvy	电子琴\t打砸抢
kvw	都在玩\t地藏王\t对自我
znx	耳边风\t而并非
znf	而不会\t耳鼻喉\t而变化
zno	而不能\t二百年
zny	而不去\t二不抢
znt	饿不死\t而伴随
znj	而不用\t而不应
zku	二等奖\t二当家
zkv	饿肚子\t二等座\t安钉子
zpg	阿房宫\t安排给
zgz	恩格尔
zff	恶狠狠\t诶嘿嘿
zfj	二合一\t儿化音\t而后又
zsd	二叉树\t二传手\t而产生
zil	二郎腿\t二联体\t阿勒泰
zmd	峨眉山\t鹅毛扇\t恶魔兽
zou	二年级
ztd	二三十\t二三事
zdn	二十八\t而是把
zdk	二十多\t二十点
zdz	二十二\t二是二
zdu	二十九\t二十几
zdi	二十六\t恶势力\t爱上了
zdo	二十年
zdy	二十七\t而生气
zdt	二十岁\t二十四\t二十三
zdw	二十五\t二十万
zdj	二十一\t而是要
zdv	二世祖\t二傻子\t二十字
zes	二指禅\t而著称
zhj	二选一
zjx	二月份
xns	发不出\t分不出\t帆布床
xnr	分不开\t放不开
xni	分辨率\t发布了
xnm	方便面\t方便吗
xny	分不清\t分布区\t付不起
xne	犯不着\t防不住
xnh	放不下\t封闭型\t帆布鞋
xnj	翻白眼\t反编译\t服兵役
xci	发错了\t发财了
xkk	反对党\t肥嘟嘟\t发达的
xkg	梵蒂冈\t分蛋糕
xks	房地产\t发电厂
xkm	防盗门\t肺动脉
xkp	反对派\t反动派
xkd	反倒是\t浮点数\t放大率
xkj	辅导员\t副导演
xzk	富二代\t菲尔德
xzt	凡尔赛
xsn	非常棒\t非出版
xsk	非常多\t非常大\t非常道
xsx	非处方\t肥肠粉\t风吹拂
xsg	非常高\t非常规
xss	非常差\t罚出场
xsu	放长假\t副处级
xsr	非常快\t妇产科
xsm	非常慢\t非常忙\t防沉迷
xso	非常难\t范畴内
xsy	非常强\t发出去
xsa	非常热\t非常人\t范纯仁
xsd	方程式\t房产税\t非常少
xse	房产证\t房产主\t复仇者
xuh	分界线\t发际线\t风景线
xrk	防空洞\t疯狂地
xrp	防空炮\t放空炮
xrv	方块字\t冯裤子
xis	翻了车\t翻了船\t分离出
xii	法拉利\t风里来\t负利率
xip	飞利浦\t菲利普
xiy	发令枪\t费力气\t福利群
xit	发牢骚\t凤梨酥
xiw	法令纹\t法老王
xij	福利院\t傅立叶
xiv	负离子\t弗雷泽
xmi	发霉了\t放慢了
xmm	敷面膜\t傅某某
xmp	非卖品\t仿冒品
xml	飞毛腿\t富媒体
xmw	分泌物
xmj	驸马爷\t非贸易\t腹膜炎
xof	府南河\t风怒号
xou	妇女节\t腓尼基
xpi	废品率\t分配率
xpy	发脾气\t分配权
xyk	夫妻店\t分歧点
xyf	粉切黑\t凤求凰\t风情画
xye	番茄钟\t番茄汁\t肺气肿
xak	副热带\t法人的
xau	缝纫机\t夫人家
xta	烦死人
xtt	非诉讼\t风嗖嗖
xth	发散性\t粉碎性\t分散性
xlu	伏特加\t反贪局
xex	反政府\t反证法
xef	法制化
xee	发展中\t腐殖质\t副镇长
xej	分之一\t非专业\t非正义
xws	俯卧撑\t服务差
xhk	发祥地\t风险低
xhg	方向感\t冯小刚
xhu	法学家\t抚恤金
xht	法西斯\t风穴寺
xhd	烦心事\t法新社\t分析师
xhj	飞行员\t负效应\t法学院
xjc	反义词\t方言词
xjk	发源地\t反应堆\t复印店
xjg	发言稿\t发一个\t翻译官
xju	复印件\t复印机\t发邮件
xji	反映了\t发芽率\t赋予了
xjy	发言权\t翻译器
xjh	发一下\t防御性\t法医学
xvg	负罪感\t副总管
xvh	复杂性\t犯罪学
xvj	副作用\t反作用
gzl	港澳台\t公安厅
gnn	干巴巴\t根本不
gnk	怪不得\t搞不懂\t搞不定
gng	该不该\t够不够\t敢不敢
gnf	搞不好\t工笔画\t更不会
gns	高不成\t构不成\t改编成
gnu	赶不及\t广播剧
gni	管不了\t改变了
gnm	各部门\t宫本茂
gno	更不能\t哥白尼
gny	过不去\t搞不清
gnl	戈壁滩\t搞半天\t更别提
gnd	更别说\t跟不上\t赶不上
gne	高标准\t管不住\t管不着
gnh	根本性\t鬼把戏
gnj	过把瘾\t冈比亚\t个把月
gnv	光膀子\t盖被子
gcd	高材生\t高才生
gkp	高电平
gky	过得去\t各地区
gkd	广东省\t跟得上\t赶得上
gkv	光电子\t鬼点子
gxf	规范化\t更符合
gxy	高峰期\t管风琴
gxh	高风险\t规范性
gsf	国产化\t工程化
gsu	歌唱家\t工程机\t更持久
gsd	工程师\t刚出生
gsw	刚吃完\t广场舞
gus	公交车\t拐角处
guu	公积金\t高精尖\t更接近
guv	关键字\t估计在
gru	高科技\t光刻机
grt	公开赛\t更快速
grh	公开信\t更科学
gio	过两年\t给了你
gia	过来人\t管理人
gmy	公民权\t冠名权\t给母亲
gme	革命者\t擀面杖\t购买者
gmh	革命性\t过敏性\t更明显
gok	高难度\t高浓度
goo	姑奶奶\t狗男女
goy	更年期\t更年轻
gow	国内外\t归纳为
goh	功能性\t概念性
gpg	狗皮膏\t光屁股
gps	跟屁虫\t龚鹏程
gph	公平性\t光谱线\t干趴下
gyk	高强度\t过去的
gys	搞清楚\t更清楚
gyu	国庆节\t宫崎骏
gyi	过去了\t公权力\t供求率
gym	鬼敲门\t更全面
gyl	共青团\t跟其他
gyh	观其行\t高清晰\t公切线
gln	改天吧\t钢铁般
glc	感叹词\t光涂层
glk	共同点\t光头党
glx	过堂风\t刮台风
glf	个体户\t感叹号
gls	共同处\t钢铁厂\t更突出
glu	更贴近\t国土局
gli	光通量\t改天聊\t古天乐
glo	管他呢\t光头男
glt	古铜色
gef	公众号
gwn	公文包\t给我爸
gwd	个位数\t跟我说
gwj	公务员\t国务院
gjk	高压电\t过一段\t高一点
gju	工业界\t冠亚军\t公益金
gjp	工艺品\t工业品
gjy	公元前\t工业区\t更有趣
gje	公有制\t更严重\t过一阵
gjh	改一下\t公益性\t高压线
gjj	归因于\t更愿意
fzh	海岸线\t海安县
fnn	汉堡包\t好爸爸
fnc	还不错\t黑板擦\t很不错
fnx	好办法\t环保法
fng	还不够\t很宝贵
fnu	还比较\t环保局
fnr	还包括\t还不快
fny	回不去\t很抱歉
fna	还不如\t河北人\t湖北人
fnl	好半天\t赫伯特
fnd	河北省\t湖北省\t红宝石\t还不是
fne	还不止\t和帮助
fnw	花不完\t还被我
fnj	后半夜\t好榜样\t很必要
fkc	喝倒彩\t好多次\t很多次
fkf	划等号\t好得很\t鹤顶红
fko	很多年\t好多年\t华达呢
fka	很多人\t好多人
fzn	哈尔滨\t好二本
fxi	恢复了\t核废料\t花费了
fgk	好感度\t哈工大\t花骨朵
fgf	回个话\t会更好
fgy	昏过去\t好歌曲
fge	合格证\t会跟着
ffx	换行符\t后恢复\t何海峰
ffu	黑胡椒\t哈哈镜\t化合价
ffa	合伙人\t会很热
ffj	后悔药\t混合泳\t还会有
ffv	好孩子\t还会在
fsk	好吃的\t汉成帝
fsx	好处费\t很充分
fsf	护城河\t火柴盒
fss	昏沉沉\t洪承畴
fsu	回车键\t很常见
fsd	候车室\t火车上
fse	火车站\t怀揣着
fuo	好几年\t海军呢
frn	户口本\t户口簿\t很恐怖
fru	黑科技\t航空局\t海空军
frj	还可以\t航空业
fig	火龙果\t后两个
fim	红楼梦\t好了吗
fip	黄脸婆\t很离谱
fmn	毫米波\t坏毛病\t很明白
fmc	花名册\t好名次
fmx	很麻烦\t好麻烦
fmg	哈密瓜\t黑命贵\t很敏感
fmm	灰蒙蒙\t很迷茫
fmy	回马枪\t很勉强
fmt	红霉素\t还没死
fmh	很明显\t毁灭性\t黄梅戏
fok	海南岛\t很难得
fou	回娘家\t混凝剂\t很难记
fol	混凝土\t怀念他
fod	后脑勺\t河南省\t湖南省
fov	哈尼族\t还能在
fpg	和平鸽\t黑苹果
fpu	黄浦江\t喝啤酒
fpm	海平面\t和平门
fpp	红扑扑\t灰扑扑
fpj	好朋友\t很便宜
fyk	何其多\t很强大
fys	很清楚\t好去处
fyi	回去了\t合情理\t喝起来
fyy	黑漆漆\t黑黢黢\t很亲切
fyl	核潜艇\t或其他
fyd	换气扇\t黄秋生
flc	回头草\t活土层\t花田错
flz	黑天鹅\t好天儿\t合同额
flg	合同工\t猴头菇\t还提供
flf	皇太后\t很听话
flu	航天局\t回头见\t回趟家
flr	回头客\t黄铜矿\t很痛苦
fli	滑铁卢\t回头率\t回头路
fla	核桃仁\t火腿肉\t后腿肉
fll	活脱脱\t红彤彤
fld	合同书\t火头上\t和同事
flw	横条纹\t回头望
flv	皇太子\t黑体字
fdu	后视镜\t花时间
fda	红烧肉\t很少人\t花生仁
fwg	和为贵\t宏微观
fwo	哈瓦那\t很无奈
fwy	核武器\t婚外情
fwh	红外线\t海王星
fwj	画外音\t还未有
fhn	还行吧\t回旋镖\t滑雪板
fhi	候选栏\t活下来
fjn	很一般\t红眼病\t喝一杯
fjx	婚姻法\t会议费\t换衣服
fjf	缓一缓\t欢迎会\t很遗憾
fji	回忆录\t欢迎来
fjy	黑眼圈\t红缨枪\t话语权
fvf	洪泽湖\t很在乎
snn	吃不饱\t场不败
snx	吃白饭\t吃饱饭
sns	吃不吃\t查不出
snr	吃不开\t储备库
sne	撑不住\t传播者
snh	吃不消\t吃不下\t传播学
scj	吃错药\t常采用
skk	沉甸甸\t传动带\t彻底的
skr	吃得开\t吃大亏
ski	吃多了\t吃得来\t吃到了
sky	充电器\t超短裙\t称得起
skh	吃得下\t吃得消\t吃东西
sxi	吃饭了\t长方脸\t重复率
sxy	冲锋枪\t吃饭去
sgt	车管所\t常规赛\t吃官司
ssy	传出去\t冲出去
sul	长镜头\t肠绞痛
sue	持久战\t创建者
srn	触控板\t触控笔
srg	长宽高\t陈凯歌
srl	创可贴\t创口贴
six	炒冷饭\t差旅费
sis	查了查\t戳了戳\t尝了尝
sip	处理品\t陈列品
siy	处理器\t成立前
sie	车轮战\t创立者
smk	崇明岛\t长明灯
smm	重命名\t撑门面
smp	触摸屏\t炒面片
smd	触摸式\t场面上
sme	充满着\t沉默着
smj	沉迷于\t沉湎于
son	吹牛逼\t朝那边
sou	刹那间
soi	超能力\t吃腻了
som	处女膜\t肠黏膜
soa	成年人\t吃牛肉
sov	处女作\t处女座
syd	重庆市\t常青树
syw	出去玩
slo	出头鸟
sll	赤条条\t尝甜头
slh	长筒靴\t超脱性\t穿透性
slj	差太远\t初体验
sen	成正比\t初中部
swx	吃完饭\t成文法\t吃午饭
swf	常委会\t吃完后
swu	储物间\t出外景
swl	出问题\t成问题
sww	颤巍巍\t成为我
swh	储物箱\t常温下
shx	吃闲饭\t穿校服
shi	出现了\t持续了
shy	吃下去\t出线权\t沉下去
sht	储蓄所\t长相思
sjn	创业板\t吃一半
sjt	超音速\t朝阳寺
svi	创造力\t创造了
uze	紧挨着\t就按照
unx	加班费\t基本法
ucc	急匆匆\t金灿灿\t决策层
uci	记错了\t就惨了
ukk	娇滴滴\t简单的
ukx	借贷方\t京东方
uku	基督教\t教大家
uki	讲道理\t几点了\t惊呆了
uky	经得起\t决定权
ukd	绝对是\t简单说
ukh	阶段性\t决定性
ukj	就等于\t筋斗云\t就读于
uzg	今儿个\t饥饿感
uxp	警匪片\t假发票
uxy	解放前\t就放弃
uxl	激发态\t简繁体
uxd	假分数\t紧肤水\t教辅书
uxe	几分钟\t肩负着\t夹缝中
uxh	见分晓\t积分学\t就发现
ugu	挤公交\t据估计\t肩关节
ugi	见鬼了\t举个例\t见惯了
ugm	见个面\t见过面
ugo	结果呢\t就给你
ugp	机关炮\t激光炮\t截个屏
ugd	金刚石\t井冈山\t结果是
ugw	甲骨文\t就给我
ugv	几个字\t金龟子\t金刚钻
ufn	就好比\t结核病\t几乎不
ufg	脚后跟\t将会给
ufs	救护车\t交汇处\t菊花茶
ufu	交换机\t就回家
ufm	激活码\t接合面\t几乎每
ufa	监护人\t江湖人
