#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
ig	两个\t老公\t理工
id	楼上\t冷水\t老实
iv	来自\t卵子\t老早
il	连同\t乐天\t裸体
iu	链接\t两句\t乐见
ii	累了\t另类\t榴莲\t来了
iz	冷傲\t立案
ic	两次\t冷藏\t留存
is	列出\t流畅\t疗程
io	两年\t列宁\t冷暖
in	列表\t领班\t两遍
ir	留空\t脸孔\t立刻
mz	明暗\t马鞍\t谜案\t名额\t面额
mn	明白\t毛病\t漫步
mf	梦幻\t民航\t谋划
mu	面积\t民间\t灭绝
mg	每个\t敏感\t芒果
mo	迷你\t闽南\t某年
mv	名字\t民族\t妹子
ms	门窗\t牧场\t冒出\t卖出
mr	门口\t满口\t模块
md	谋杀\t门市\t蔑视
mx	麻烦\t免费\t没法
mm	明明\t命名\t慢慢
mc	每次\t某次
oc	那次\t哪次\t农村
ok	你的\t内地\t虐待
og	那个\t能够\t哪个
os	奶茶\t拿出\t鸟巢
oi	那里\t能力\t年龄
om	你们\t那么\t农民
oy	年轻\t拿起\t女权
ol	哪天\t女童\t农田
oe	那种\t哪种\t扭转
oh	哪些\t男性\t内心
ov	男子\t女子\t内在
ox	能否\t南方\t奶粉
ou	年级\t农家\t凝聚
or	耐看\t扭亏\t鸟瞰
oo	年内\t暖暖\t尿尿
od	女生\t牛市\t能说
ot	浓缩\t南宋\t暖色
oa	内容\t女人\t男人
pg	苹果\t排骨\t偏高
pf	平衡\t配合\t破坏
ps	品尝\t普查\t赔偿
pp	批评\t批判\t匹配
pu	偏见\t判决\t票据
pv	瓶子\t痞子\t飘走
pc	配菜\t泡菜\t破财
pm	排名\t泡沫\t剖面
po	叛逆\t泡妞\t排尿
px	平凡\t篇幅\t喷发
pn	旁边\t配备\t漂泊
pr	撇开\t剖开\t盘亏
yp	俏皮\t钦佩\t全屏
yj	球员\t却又\t惬意
ym	前面\t清明\t且慢
yo	青年\t却能\t怯懦
yt	切碎\t青涩\t秋色
yl	其他\t群体\t晴天
yy	悄悄\t求求\t请求
yd	其实\t强势\t权势
yh	取消\t求学\t情绪
ya	确认\t穷人\t恰如
as	日常\t让出\t扔出
aa	仍然\t日日\t柔软
ae	认真\t忍着\t任职
af	然后\t如何\t柔和
