#星辰双拼专用成语简码（由 chengyu.txt 按星辰声母键重映射）
nkud	博大精深
nkuw	不懂就问
nkuv	百堵皆作
nkrf	遍地开花
nkro	不大可能
nkrl	北达科他
nkrj	不打诳语
nkix	备多力分
nkig	布达拉宫
nkii	不得了了
nkmk	不达目的
nkoi	表达能力
nkpt	布达佩斯
nkyx	不得其法
nkyt	不得其所
nkyh	北斗七星
nkas	笔大如椽
nkad	不动如山
nkah	不得人心\t败德辱行
nkav	不当人子
nkts	冰冻三尺
nkdg	不待蓍龟
nktr	白丁俗客
nkdt	不动声色
nkde	不得善终
nkls	拔得头筹
nklg	不断提高
nkek	不懂装懂
nkwz	伯道无儿
nkwi	宝刀未老
nkwv	百代文宗
nkhe	拔刀相助
nkhj	北大西洋
nkji	弊大于利\t不得要领
nkjm	拜倒辕门
nkjt	笨得要死
nkjd	拔地摇山
nkjl	拔地倚天
nkje	步调一致
nkjw	不得有误
nkjj	棒打鸳鸯
nken	兵多者败
nkec	八斗之才
nkea	北道主人
nkve	不打自招
nkev	北斗之尊
nznk	避而不答
nznu	避而不见\t博而不精
nznl	避而不谈
nznj	备而不用
nzxm	不二法门
nzxv	不二法则
nzgj	博而寡要
nzit	白俄罗斯
nztd	拜恩私室
nzer	巴尔扎克
nzeh	不二之选
nzwj	背恩忘义
nxnc	不分彼此
nxnx	不悱不发
nxny	不愤不启
nxnd	不丰不杀
nxne	百发百中
nxcc	白发苍苍
nxsr	不法常可
nxcd	不负此生
nxsd	抱法处势
nxcj	白发苍颜
nxcv	不复存在
nxku	百废待举
nxko	不复当年
nxkh	百废待兴
nxxj	八方风雨
nxxv	不法分子
nxgh	不分高下
nxfj	八方呼应\t白发红颜\t别风淮雨
nxuf	不废江河
nxuu	把饭叫饥
nxud	百夫决拾
nxuh	百废俱兴
nxuj	暴风疾雨
nxrd	白费口舌
nxii	兵分两路
nxiy	白费力气
nxys	白饭青刍
nxya	不乏其人
nxyd	白发青衫
nxye	不分轻重\t白发千丈
nxdf	不负韶华
nxdm	不伏烧埋
nxtl	不负所托
nxdl	不服水土
nxlj	悲愤填膺
nxen	百分之百
nxel	不法之徒\t剥肤之痛
nxew	不负众望
nxej	百分之一\t暴风骤雨\t捕风捉影\t不分畛域\t八方支援
nxwn	变废为宝
nxwa	抃风舞润
nxwh	变法维新
nxwj	布帆无恙
nxhz	八府巡按
nxhu	白费心机
nxhi	不乏先例
nxhe	不分轩轾
nxhw	不法行为
nxjd	并非易事
nxje	笔锋一转
nxjj	不发一言
nxvn	不分皂白
nxes	八方支持
nxei	北风之恋
nxva	不负责任\t被发左衽
nxve	不扶自直
ngzm	保国安民
ngns	笔耕不辍
ngnk	半工半读
ngng	不管不顾\t不尴不尬
ngnu	不干不净\t必恭必敬\t毕恭毕敬\t不古不今
ngni	包工包料\t秉公办理
ngnw	不管不问
ngcx	不甘雌伏
ngkl	不共戴天
ngkj	半个多月
ngzn	不告而别
ngzz	不过尔尔
ngzy	不告而取
nggi	不敢告劳
nggp	不敢高攀
nggl	不敢苟同
ngfa	不甘后人
ngfw	不敢或忘
nguc	杯觥交错
nguu	百感交集
ngum	不甘寂寞
ngul	抱关击柝
nguw	伯歌季舞
nguj	不关紧要
ngif	不甘落后
ngiu	八国联军
ngii	波光粼粼
ngim	不敢掠美\t布鼓雷门
ngij	傍观冷眼
ngpw	不敢旁骛
ngyi	不改其乐
ngyt	闭关却扫
ngyh	卑躬屈膝
ngac	不过如此
ngtg	闭关锁国
ngdu	半个世纪
ngda	不甘示弱
ngdt	兵贵神速
ngdd	八公山上
ngtl	敝鼓丧豚
ngdj	杯弓蛇影\t补过拾遗
ngde	不敢擅专
nglu	博古通今
nglj	不关痛痒
ngex	秉公执法
ngei	百舸争流\t病骨支离\t不根之论
ngel	半个钟头\t不轨之徒
ngej	悲观主义
ngwu	不敢问津
ngwd	别跟我说\t巴高望上
ngwt	秉公无私
ngwh	报告文学
ngwj	不敢妄言
nghy	不感兴趣
nghd	半个小时\t兵贵先声
nghh	不敢相信
ngjs	变古易常
ngjz	北宫婴儿
ngjy	不顾一切
ngjt	不够意思
ngjd	稗官野史
ngjl	笔耕砚田
ngjh	不苟言笑
ngvc	不敢造次
ngek	白圭之玷
ngez	巴高枝儿
ngvp	不攻自破
ngep	败鼓之皮
ngvd	闭关自守
nfnf	不哼不哈
nfni	陂湖禀量
nfsd	帮虎吃食
nfkk	变化多端
nfkd	闭户读书
nfzi	不寒而栗
nfzt	不欢而散
nfxm	白黑分明
nfgi	别鹤孤鸾
nfga	白虹贯日
nffy	抱恨黄泉
nfux	避祸就福
nfui	避害就利
nfif	悲欢离合
nfmc	变化莫测\t变幻莫测
nfmi	兵荒马乱
nfpf	暴虎冯河
nfyx	百花齐放
nfyp	百卉千葩
nfyl	碧海青天
nfyj	冰壶秋月
nfti	傍花随柳
nfda	百花生日
nfdj	不合时宜
nflg	八纮同轨
nfws	变化无常\t变幻无常
nfwy	变化无穷
nfhp	冰魂雪魄
nfjd	冰寒于水
nfem	不讳之门
nfeo	不惑之年
nfea	薄寒中人
nfel	抱恨终天
nfew	八荒之外
nfej	白华之怨
nfvv	跋扈自恣
nunx	不矜不伐
nung	不今不古
nunf	包教包会
nunu	半间不界
nuni	半斤八两\t搬斤播两\t不即不离
nuny	百举百全\t比肩并起
nunt	不见不散\t不稼不穑
nunh	不疾不徐
nunv	不骄不躁
nusz	把酒持螯
nusn	边际成本
nuct	饱经沧桑
nukg	班荆道故
nuku	不计代价
nuki	不记得了
nuko	不减当年
nukd	冰解冻释
nuke	八九点钟\t飙举电至
nukh	北京大学
nuzf	贝加尔湖
nuzi	比肩而立
nuzd	不教而杀
nuze	不教而诛
nuzj	比较而言
nuzv	不胫而走
nuxs	别具肺肠
nuxf	拜将封侯
nuxi	擘肌分理
nuxy	不解风情\t弊绝风清
nuxd	饱经风霜
nuxl	不进反退
nugk	苞苴竿牍
nugm	杯酒戈矛
nuga	八九个人
nugh	白驹过隙
nugj	八九个月
nufg	不计后果
nuff	保驾护航
nufj	别具慧眼
nuum	八街九陌
nuue	比肩接踵\t比肩继踵\t不见经传
nuuw	不咎既往
nuuh	别具匠心
nuuj	不觉技痒
nurg	白驹空谷
nuih	背井离乡
nuij	保加利亚
nuiv	兵精粮足
numv	不讲面子
nuoj	不拘泥于
nuyu	百金求间
nuyi	不近情理
nuyy	并驾齐驱
nuyd	不计其数\t比肩齐声
nuyh	不计前嫌
nuyj	不及其余
nuac	不仅如此
nuai	不绝如缕
nuay	不近人情
nual	半截入土
nuaj	不尽人意
nutc	悲剧色彩
nuti	不见森林
nudt	八九十岁
nutt	不假思索
nutl	巴基斯坦
nula	不见天日
nuld	不见泰山
nuec	不羁之才
nuek	必经之地
nueu	败军之将\t不教之教
nuei	必经之路
nuem	百家争鸣\t不羁之民
nuel	不经之谈
nuej	不解之缘\t别具只眼
nuwk	不讲武德
nuwg	保家卫国
nuwm	不尽完美
nuwj	彼竭我盈
nuhs	冰肌雪肠
nuhu	不拘小节
nuhi	补苴罅漏
nuhm	保境息民
nuhl	不尽相同
nujk	败局已定
nujz	不绝于耳
nujx	八九月份
nujg	别具一格\t冰肌玉骨\t波谲云诡\t不拘一格
nujf	不久以后\t杯酒言欢
nujo	包举宇内
nujy	不讲义气
nujd	不经一事
nujh	不见舆薪
nuex	不及之法
puea	被坚执锐\t披坚执锐
nuvd	薄技在身
nuvl	不进则退
nuve	并肩作战
nuew	不急之务
nrnn	不亢不卑
nrnx	不可不防
nrnl	闭口不谈
nrne	不可不知
nrnj	百看不厌\t闭口不言
nrnv	不愧不作
nrcd	闭口藏舌
nrsl	鼻孔朝天
nrkk	不可多得
nrko	不可端倪
nrkj	不可动摇
nrkv	拔葵啖枣
nrze	不可遏制
nrxa	不可否认
nrgn	不可改变
nrgi	不可估量
nrga	不可告人
nrfy	不可或缺
nrfd	不堪回首
nruk	不可兼得
nruu	不可究诘
nruh	不可教训
nruj	不可救药
nrrk	不可揆度
nrru	不可开交
nrri	不可抗力
nriu	避坑落井
nrij	不可理喻
nrmn	百口莫辩
nrmm	不可磨灭\t播糠眯目
nrme	不可名状
nron	不可能吧
nrok	不可能的
nroe	不可逆转
nrpx	不可偏废
nrys	百孔千疮
nryx	不可侵犯
nryu	不可企及
nryd	不可缺少
nryh	不可全信
nryj	不堪其忧
nrye	拔葵去织
nraz	不堪入耳
nram	不堪入目
nrah	碧空如洗
nraj	宾客如云
nrdm	别开生面
nrdd	不可胜数\t不可收拾
nrdh	不堪设想
nrtj	不可思议
nrdj	不可胜言
nrlh	不可推卸
nrei	不可知论\t不刊之论
nrem	不可捉摸
nrea	不可终日
nreh	不可置信
nrwi	不愧屋漏
nrwj	不可外扬
nrhk	不可懈怠
nrhz	不可向迩
nrhi	不可限量
nrhy	不可小觑
nrhd	不可小视
nrhh	不可想象
nrjs	不可言传
nrjk	不可以的
nrjg	不快也光
nrju	不堪一击
nrjm	不可以吗
nrjd	不可一世
nrje	不可言状\t不堪言状
nrjh	不可言宣
nrjj	不可逾越\t不可言喻\t不可移易
nrvc	不可造次
nrvu	不堪造就
nrvd	不可再生
ninc	不理不睬
ninu	波澜不惊
nini	不伦不类\t百伶百俐
niny	不离不弃
nina	不冷不热
ninw	拔来报往
ninh	奔流不息\t不郎不秀
ninj	表里不一\t不稂不莠
nisg	百炼成钢
nisf	鬓乱钗横
nicf	败柳残花
nisu	半路出家
nicu	不吝赐教\t败鳞残甲
nisi	必里迟离
nisy	拔类超群
nicd	比类从事
nish	兵临城下
nikf	波罗的海
nikh	薄利多销
nizf	不劳而获
nizu	比邻而居
nixi	别浪费了
nixm	不露锋芒\t鄙吝复萌
nixl	不劣方头
nixe	拨乱反正
nixj	不良反应
nigu	不露圭角
nifn	卑礼厚币
nifu	不留痕迹\t兵连祸结
nify	碧落黄泉
niuk	兵来将挡
niuu	濒临绝境
niui	不良记录
